,English_translation,hangul_word,hanja_word_with_x
555,bag,가방,街坊
554,family,가족,家族
546,health,건강,健康
545,to walk,걷다,X
537,zero,공,X
534,park,공원,公園
530,alright,괜찮다,X
524,ear,귀,X
504,guitar,기타,其他
499,to discount,깎다,X
498,flower,꽃,X
489,low,낮다,X
466,to be late,늦다,X
458,to close,닫다,X
448,Germany,독일,獨逸
49,to listen / to hear -들 plural marker,듣다,X
436,warm,따뜻하다,X
435,daughter,딸,X
434,sweat,땀,X
419,beer,맥주,麥酒
45,far,멀다,X
44,neck / throat / body,목,X
407,door,문,X
399,outside,밖,X
398,half,반,X
388,already,벌써,X
382,hospital,병원,病院
381,crowded jammed,복잡하다,X
380,ball-point pen,볼펜,X
371,building,빌딩,X
366,bread,빵,X
364,apple,사과,沙果
358,dictionary,사전,辭典
357,photograph,사진,寫眞
336,parcel,소포,小包
324,easy,쉽다,X
309,test,시험,試驗
306,newspaper,신문,新聞
285,to shake hands,악수하다,X
282,front,앞,X
277,appointment,약속,約束
256,pencil,연필,鉛筆
236,why,왜,X
228,these days nowadays,요즘,X
227,umbrella,우산,雨傘
226,milk,우유,牛乳
212,music,음악,音樂
192,to read,읽다,X
14,small,작다,X
183,rose,장미,薔薇
175,lunch,점심,點心
172,Jeju Island,제주도,濟州島
171,"a little, a bit, a little bit",조금,X
170,please,좀,X
156,now,지금,只今
149,question,질문,質問
147,short,짧다,X
146,about / around,쯤,X
145,to gain (weight),찌다,X
141,window,창문,窓門
139,book,책,X
126,to dance,춤추다,X
125,floor,층,X
122,friend,친구,親舊
115,computer,컴퓨터,X
108,taekwondo,태권도,跆拳道
101,especially,특히,X
95,comfortable,편하다,X
3,grape,포도,葡萄
84,to do,하다,X
71,always,항상,恒常
66,Australia,호주,濠洲
56,leave / vacation,휴가,休暇
0,being portable,휴대,携帶
